Timestamp,Are you:,What is your job title?,How would you rate your level of expertise?,Where are you based?,Country of residence,What is your daily rate in USD ($)?,What is your daily rate in USD ($)?,Do you primarily work …,How do you normally bill for work?,How many hours a day do you normally work?,How many days per week do you normally work?,Where do you primarily work?,Do you use contracts?,Do you usually ask for a deposit up front?,What payment terms do you normally use?,Do you have/use an accountant?,Do you use any accounting software?
1/14/2015 22:15:10,Freelance,UI/UX Designer,Pro,Oceania,New Zealand,435,435,Direct with clients,"Time-based, hour rate",less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account",No
1/15/2015 19:22:42,Freelance,Graphic Designer,Pro,Oceania,New Zealand,528,528,Direct with clients,"Time-based, hour rate",less than seven hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, fixed amount",Payment within 7 days of completion,"Yes, I use a local accountant",
1/19/2015 11:40:44,A company (2 or more employees),full stack developer,Pro,Europe,Norway,300,300,As a sub-contractor,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 11:19:03,Freelance,Graphic Designer / Web Developer,Pro,Europe,Norway,825,825,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 12:17:50,Freelance,Web Developer,Pro,Asia,Pakistan,55,55,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",gnuCash
1/14/2015 12:53:14,Freelance,Web developer,Pro,Europe,Poland,1770,1770,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",no
1/27/2015 13:57:53,A company (2 or more employees),CEO,Intermediate,Europe,Portugal,283.2,283.2,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",no
1/27/2015 11:36:19,Employed,Designer,Pro,Europe,Portugal,100,100,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,less than four days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",
1/14/2015 11:25:17,Freelance,Graphic/Web Designer,Beginner,Europe,Portugal,200-250,200-250,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",Wave
1/12/2015 15:28:15,A company (2 or more employees),programmer,Pro,Europe,Romania,375,375,In conjunction with other freelancers/agencies,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate","33% up front, 42% when QA starts, rest when project launches","Yes, I use a local accountant",
1/14/2015 11:18:05,A company (2 or more employees),Full Stack Developer,Intermediate,Europe,Romania,5,5,Direct with clients,"Time-based, hour rate",more than 11 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",No
1/27/2015 15:21:32,A company (2 or more employees),designer / developer,Pro,Europe,Romania,180,180,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/19/2015 13:44:21,Employed,Front-end developer,Pro,Europe,Romania,65,65,Direct with clients,Value based,between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 7 days of completion,,
1/14/2015 11:25:47,Freelance,Creative designer,Pro,Europe,Romania,35,35,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",no
1/26/2015 12:56:20,Freelance,Graphic designer,Intermediate,Europe,Romania,50,50,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,less than four days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"No, I self-account",
1/27/2015 11:18:58,Freelance,UX Designer,Intermediate,Europe,Romania,400,400,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/21/2015 12:06:59,Freelance,web designer,Intermediate,Europe,Russia,10,10,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",none
1/14/2015 20:49:25,A company (2 or more employees),Design director,Pro,Europe,Serbia,24,24,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/16/2015 14:01:15,Freelance,ux/ui designer,Beginner,Europe,Serbia,30,30,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/27/2015 12:10:24,A company (2 or more employees),Creative Director,Pro,Asia,Singapore,850,850,Both direct with clients and through agencies,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"No, I self-account",Quickbook Pro
1/14/2015 11:20:49,Freelance,web designer,Pro,Europe,Slovenia,200,200,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"Yes, I use a local accountant",
1/14/2015 12:53:29,Freelance,Web developer ,Intermediate,Africa,South Africa,267,267,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/19/2015 10:16:52,Freelance,designer,Intermediate,Africa,South Africa,310,310,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,Co-working space,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"Yes, I use a local accountant",
1/26/2015 13:38:46,Freelance,Designer,Pro,Africa,South Africa,500,500,Direct with clients,Value based,less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",Freeagent
1/16/2015 20:00:23,A company (2 or more employees),frontend developer/ web designer,Intermediate,Europe,Spain,53,53,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",no
1/19/2015 10:14:32,Employed,Senior Web developer,Pro,Europe,Spain,138,138,As a sub-contractor,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,monthly,"No, I self-account",
1/14/2015 11:23:35,Freelance,Art director,Intermediate,Europe,Spain,220,220,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"Yes, I use a local accountant",
1/15/2015 2:22:18,Freelance,,,Europe,Spain,45,45,Direct with clients,"Time-based, hour rate",less than seven hours a day,four days per week,,,,,,
1/15/2015 14:30:56,Freelance,Consultant,Pro,Europe,Spain,561,561,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,In clients office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/27/2015 12:27:48,A company (2 or more employees),Art Director,Pro,Europe,Sweden,862,862,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 15:06:14,Freelance,"Developer, Designer",Pro,Europe,Sweden,790,790,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Coffee shop or similar,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",
1/15/2015 16:07:15,Freelance,developer,Intermediate,Europe,Sweden,500,500,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Co-working space,"No, I don’t normally use contracts",No,Payment greater than 28 days of completion,"Yes, I use a local accountant",
1/19/2015 10:45:26,A company (2 or more employees),Webdesigner,Pro,Europe,Switzerland,1200,1200,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,four days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"Yes, I use a local accountant",
1/14/2015 15:04:37,Employed,graphic designer,Pro,Europe,Switzerland,270,270,Direct with clients,,between 9 and 11 hours a day,five days per week,Dedicated office,,,,,
1/14/2015 15:42:21,Freelance,UI Designer,Intermediate,Asia,Thailand,242,242,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/26/2015 17:57:39,Employed,Web-developer,Beginner,Europe,Ukraine,6.5,6.5,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,coffee shops and  co-working spaces both,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",
1/12/2015 15:32:07,A company (2 or more employees),Director,,Europe,United Kingdom,1060,1060,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/12/2015 15:53:49,A company (2 or more employees),Director,Intermediate,Europe,United Kingdom,450,450,As a sub-contractor,"Fixed rate, by project",less than seven hours a day,five days per week,Co-working space,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",freeagent
1/12/2015 16:15:25,A company (2 or more employees),Operations Director,Pro,Europe,United Kingdom,825,825,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"Yes, I use a local accountant",Freeagenct
1/12/2015 17:25:09,A company (2 or more employees),ux director,Pro,Europe,United Kingdom,750,750,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, fixed amount",Payment within 14 days of completion,"Yes, I use a local accountant",freeagent
1/14/2015 11:11:57,A company (2 or more employees),Creative Director,Intermediate,Europe,United Kingdom,375,375,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Clearbooks
1/14/2015 11:35:49,A company (2 or more employees),Developer,Pro,Europe,United Kingdom,1500,1500,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Xero
1/14/2015 13:44:52,A company (2 or more employees),Front end developer / designer,Intermediate,Europe,United Kingdom,683.59,683.59,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 28 days of completion,"No, I self-account",Freeagent
1/14/2015 14:58:00,A company (2 or more employees),Technical Director,Pro,Europe,United Kingdom,145,145,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 19:29:27,A company (2 or more employees),creative manager,Pro,Europe,United Kingdom,780,780,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"Yes, I use a local accountant",
1/14/2015 19:33:06,A company (2 or more employees),Managing Partner,Pro,Europe,United Kingdom,1320,1320,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Sage 
1/14/2015 19:42:33,A company (2 or more employees),Director,Pro,Europe,United Kingdom,1125,1125,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Xero
1/14/2015 20:51:10,A company (2 or more employees),Creative Director,Pro,Europe,United Kingdom,712.5,712.5,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Xero
1/14/2015 20:52:17,A company (2 or more employees),Director,Pro,Europe,United Kingdom,500,500,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use an online service",freeagent
1/14/2015 21:05:43,A company (2 or more employees),Creative director,Intermediate,Europe,United Kingdom,486,486,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 21:19:13,A company (2 or more employees),developer,Intermediate,Europe,United Kingdom,175,175,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,Co-working space,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",freeagent
1/14/2015 21:19:36,A company (2 or more employees),Senior ux designer,Pro,Europe,United Kingdom,600,600,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, fixed amount",Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 23:16:22,A company (2 or more employees),Developer,Intermediate,Europe,United Kingdom,300,300,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Quickbooks
1/15/2015 11:30:36,A company (2 or more employees),diector,Pro,Europe,United Kingdom,610,610,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/15/2015 18:49:19,A company (2 or more employees),Frontend Consultant,Pro,Europe,United Kingdom,860,860,In conjunction with other freelancers/agencies,"Time-based, hour rate",less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/19/2015 10:11:45,A company (2 or more employees),Developer,Pro,Europe,United Kingdom,900,900,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Xero
1/19/2015 10:11:59,A company (2 or more employees),CEO,Pro,Europe,United Kingdom,1500,1500,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/19/2015 10:14:29,A company (2 or more employees),Lead Creative,Pro,Europe,United Kingdom,"1,136","1,136",Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/19/2015 12:03:42,A company (2 or more employees),Director,Pro,Europe,United Kingdom,900,900,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use an online service",FreeAgent 
1/19/2015 12:17:44,A company (2 or more employees),Creative Director,Pro,Europe,United Kingdom,1080,1080,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Xero
1/19/2015 17:26:19,A company (2 or more employees),MD,Pro,Europe,United Kingdom,1000,1000,Direct with clients,Value based,between 9 and 11 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",FreeAgent
1/19/2015 20:05:45,A company (2 or more employees),Director,Pro,Europe,United Kingdom,562.5,562.5,Direct with clients,"Time-based, hour rate",more than 11 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",Sage
1/20/2015 15:02:53,A company (2 or more employees),Senior Ecommerce Engineer,Pro,Europe,United Kingdom,190.38,190.38,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/20/2015 15:50:22,A company (2 or more employees),Designer,Pro,Europe,United Kingdom,1093,1093,Direct with clients,Retainer Basis,between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, fixed amount",Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/26/2015 12:38:00,A company (2 or more employees),Developer,Pro,Europe,United Kingdom,675,675,Direct AND with agencies,Value based,between 9 and 11 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Balance paid before launch,"Yes, I use a local accountant",Nope
1/26/2015 12:43:26,A company (2 or more employees),Director,Pro,Europe,United Kingdom,630,630,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/26/2015 12:44:00,A company (2 or more employees),UX Designer,Pro,Europe,United Kingdom,660,660,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",No
1/27/2015 18:35:03,A company (2 or more employees),technical director,Pro,Europe,United Kingdom,683.8,683.8,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"Yes, I use a local accountant",no
1/19/2015 10:06:46,Both,Designer,Intermediate,Europe,United Kingdom,600,600,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",Invoice machine
1/12/2015 16:25:17,Consultant,Consultant Front-end Architect,Pro,Europe,United Kingdom,1210,1210,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,less than four days per week,Globally,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use an online service",Crunch
1/20/2015 15:45:24,Contracter,Senior Software Engineer,Intermediate,Europe,United Kingdom,60,60,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, drafted by lawyer",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/19/2015 10:12:43,Contractor,Consultant (Development focused),Pro,Europe,United Kingdom,472,472,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer",No,Payment within 7 days of completion,"Yes, I use a local accountant","Freeagent, Float"
1/12/2015 16:22:25,Employed,Senior Accessibility Specialist ,Pro,Europe,United Kingdom,310,310,employed,employed,less than seven hours a day,five days per week,From home,"Yes, drafted by lawyer",No,Monthly ,"Yes, I use a local accountant",Xero
1/12/2015 17:14:14,Employed,DevOps Engineer,Pro,Europe,United Kingdom,600,600,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",FreeAgent
1/14/2015 11:36:52,Employed,Creative Producer,Beginner,Europe,United Kingdom,250,250,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 11:48:16,Employed,Senior UX/UI Designer,Pro,Europe,United Kingdom,300,300,Direct with clients,Value based,between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 11:50:25,Employed,Creative Lead,Intermediate,Europe,United Kingdom,450,450,Direct with clients,"Time-based, day rate",between 9 and 11 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 12:59:28,Employed,Front end web developer,Intermediate,Europe,United Kingdom,225,225,Direct with clients,"Time-based, hour rate",less than seven hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/14/2015 16:08:03,Employed,Head of Design,Intermediate,Europe,United Kingdom,684,684,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 10-20% of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",QuickBooks
1/14/2015 16:19:01,Employed,Front end web developer,Pro,Europe,United Kingdom,315,315,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",
1/14/2015 20:03:28,Employed,Front end developer,Intermediate,Europe,United Kingdom,250,250,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, fixed amount",Payment within 28 days of completion,"Yes, I use a local accountant",
1/15/2015 0:01:47,Employed,lead developer,Pro,Europe,United Kingdom,720,720,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Xero
1/15/2015 12:11:05,Employed,Senior Software Architect,Pro,Europe,United Kingdom,421.86,421.86,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,more than five days per week,Co-working space,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account",
1/15/2015 17:57:02,Employed,Developer,Intermediate,Europe,United Kingdom,760,760,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"No, I self-account",
1/16/2015 13:29:29,Employed,Digital Administrator,Intermediate,Europe,United Kingdom,84,84,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/16/2015 15:26:41,Employed,Graphic Designer,Intermediate,Europe,United Kingdom,170,170,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 14 days of completion,"No, I self-account",
1/16/2015 15:33:00,Employed,Web and graphic designer,Intermediate,Europe,United Kingdom,£225,225,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,Co-working space,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"No, I self-account",
1/17/2015 18:07:57,Employed,Senior designer,Pro,Europe,United Kingdom,500,500,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use an online service",
1/17/2015 23:06:08,Employed,Senior Developer,Pro,Europe,United Kingdom,510,510,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Sage
1/19/2015 10:21:36,Employed,FE Developer,Pro,Europe,United Kingdom,560,560,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"No, I self-account",
1/19/2015 10:37:03,Employed,Web Developer,Pro,Europe,United Kingdom,700,700,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Xero
1/19/2015 10:56:55,Employed,senior front end,Pro,Europe,United Kingdom,220,220,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"No, I self-account",
1/19/2015 11:48:48,Employed,Technical Director,Pro,Europe,United Kingdom,530,530,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/20/2015 8:59:01,Employed,Development Team Leader,Pro,Europe,United Kingdom,905,905,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/20/2015 11:49:01,Employed,Digital Consultant,Pro,Europe,United Kingdom,1500,1500,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use an online service",Freeagent
1/20/2015 15:38:59,Employed,Head of Design,Pro,Europe,United Kingdom,1125,1125,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Xero
1/26/2015 12:38:05,Employed,Lead Web Developer,Intermediate,Europe,United Kingdom,338,338,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 7 days of completion,"Yes, I use an online service",
1/26/2015 12:43:45,Employed,Lead Developer,Pro,Europe,United Kingdom,300,300,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Xero
1/26/2015 12:49:01,Employed,Web Developer,Intermediate,Europe,United Kingdom,845,845,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",
1/26/2015 12:58:36,Employed,Designer,Intermediate,Europe,United Kingdom,675,675,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/27/2015 11:14:25,Employed,Leader Designer,Pro,Europe,United Kingdom,350,350,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,Dedicated office,"Yes, drafted by lawyer","Yes, fixed amount",Payment within 28 days of completion,"Yes, I use a local accountant",no
